	country	designation		points	price	province	variety		winery	
25231	France	Tradition	88		Bordeaux	Bordeaux-style Red Blend	Château Cabredon	
25232	France	Cuvée Jean	88	30	Southwest France	Petit Manseng	Château Jolys	
25233	France		88		Bordeaux	Bordeaux-style Red Blend	Château la Roselière	
25234	France	Eulalie	88	44	Southwest France	Malbec	Château de Cénac	
25235	Spain	Single Vineyard	88	18	Galicia	Albariño	Finca de Arantei	
25236	Portugal	DFJ Pinot Noir-Alfrocheiro	88	13	Lisboa	Portuguese Red	DFJ Vinhos	
25237	US	Amalie's Cuvée	88	50	Oregon	Pinot Noir	Amalie Robert	
25238	US	Gilt	88	18	Oregon	Pinot Gris	Ancient Cellars	
25239	Portugal	Quinta dos Loridos	88	16	Lisboa	Portuguese Red	Bacalhôa Wines of Portugal	
25240	Spain	Reserva	88	18	Northern Spain	Tempranillo Blend	Bodegas Ondarre	
25241	Spain		88	19	Northern Spain	Godello	Gaba do Xil	
25242	Italy	Borgeri	88		Tuscany	Red Blend	Giorgio Meletti Cavallari	
25243	US		88	21	California	Cabernet Sauvignon	Husch	
25244	US		88	14	California	Merlot	Irony	
25245	US	Reserve	88	33	California	Chardonnay	Kunde	
25246	US	Bien Nacido Vineyard	88	39	California	Pinot Noir	Kynsi	
25247	US	Tempranillo	88	22	California	Rosé	Gundlach Bundschu	
25248	France	Clos Triguedina La Chapelle du Clos	88	17	Southwest France	Malbec	Jean-Luc Baldès	
25249	Italy	Cingalino	88	14	Tuscany	Red Blend	Villa Pillo	
25250	Italy	Poggio ai Ginepri	88	18	Tuscany	Red Blend	Tenuta Argentiera	
25251	Italy	Daniello	88	18	Tuscany	Red Blend	Tenuta di Trecciano	
25252	Portugal	Clemen Reserva	88	12	Vinho Verde	Portuguese White	Wines & Winemakers	
25253	Spain	Aria Estate Brut	88	14	Catalonia	Sparkling Blend	Segura Viudas	
25254	Portugal	Avesso	88	12	Vinho Verde	Portuguese White	Solar de Pinheiro	
25255	Portugal	Quinta de Simaens	88	13	Vinho Verde	Portuguese White	Borges	
25256	Portugal	Cova da Ursa	88	20	Península de Setúbal	Chardonnay	Bacalhôa Wines of Portugal	
25257	US		88	11	California	Chenin Blanc	Husch	
25258	US		88	13	California	Sauvignon Blanc	Husch	
25259	US	Signature	88	17	Oregon	Pinot Gris	King Estate	
25260	New Zealand	Pioneer Block 4 Sawcut	88	30	Marlborough	Pinot Noir	Saint Clair	
25261	Spain	Abadal Chardonnay-Sauvignon Blanc-Picapoll	88	19	Catalonia	White Blend	Masies d'Avinyo	
25262	US	Riserva	88	24	California	Sangiovese	Vino Noceto	
25263	Portugal	10 Anos Tawny	88	23	Port	Port	Wiese & Krohn	
25264	US		88	44	Washington	Merlot	Woodward Canyon	
25265	Italy	Scurati	87	19	Sicily & Sardinia	Nero d'Avola	Ceuso	
25266	Italy	Vajasindi Nawàri	87		Sicily & Sardinia	Pinot Nero	Duca di Salaparuta	
25267	Italy	Colomba Platino	87	14	Sicily & Sardinia	Insolia	Duca di Salaparuta	
25268	Italy		87	12	Sicily & Sardinia	Nero d'Avola	Cusumano	
25269	Italy		87	20	Sicily & Sardinia	Grillo	D'Alessandro	
25270	US	Dry	87	22	California	Riesling	Esterlina	
25271	Israel	Petit Castel	87	50	Haut-Judeé	Bordeaux-style Red Blend	Domaine du Castel	
25272	Italy	Iselis	87	20	Sicily & Sardinia	White Blend	Argiolas	
25273	US		87	24	Washington	Zinfandel	Animale	
25274	US	Candy Mountain Vineyard	87	24	Washington	Sangiovese	Balboa	
25275	Italy	Versace	87		Sicily & Sardinia	Nero d'Avola	Feudi del Pisciotto	
25276	Italy	Versace	87	21	Sicily & Sardinia	Nero d'Avola	Feudi del Pisciotto	
25277	Italy	Stemmari	87	10	Sicily & Sardinia	Syrah	Feudo Arancio	
25278	Italy	Altavilla della Corte	87	15	Sicily & Sardinia	Grillo	Firriato	
25279	Italy	Fine Sweet	87	13	Sicily & Sardinia	White Blend	Florio	
25280	Italy		87	14	Sicily & Sardinia	Nero d'Avola	Fondo Antico	
25281	Portugal	Colheita Seleccionada	87	10	Alentejano	Portuguese White	Herdade de São Miguel	
25282	France		87	25	Burgundy	Chardonnay	Joseph Drouhin	
25283	Spain	Inspiración Valdemar	87	20	Northern Spain	Tempranillo Blend	Bodegas Valdemar	
25284	Italy	Dietro le Case	87	22	Sicily & Sardinia	Inzolia	Cantine Barbera	
25285	Italy	Sachia	87	25	Sicily & Sardinia	Perricone	Caruso & Minini	
25286	Spain	XA Vinyes Velles Made with Organic Grapes	87		Catalonia	Xarel-lo	Albet I Noya	
25287	US	Late Harvest	87	48	California	Sémillon	Longboard	
25288	Italy	Kaiton	87		Northeastern Italy	Riesling	Kuenhof	
25289	US	Las Brisas Vineyard	87	36	California	Pinot Noir	Mahoney	
25290	US	Estate Stone Corral Vineyard	88	48	California	Pinot Noir	Kynsi	
25291	US	Reserve	88	32	Oregon	Pinot Noir	Lange	
25292	Spain		88	25	Galicia	Albariño	Mar de Frades	
25293	France		88	22	Bordeaux	Bordeaux-style Red Blend	Château la Croix Melin	
25294	France		88	25	Bordeaux	Bordeaux-style Red Blend	Château Plaisance	
25295	New Zealand		88	29	Marlborough	Pinot Noir	Churton	
25296	France	Le Rouge et le Noir	88	17	Southwest France	Bordeaux-style Red Blend	Clos d'Yvigne	
25297	US	Tradição Red	88	26	Oregon	Red Blend	Coelho	
25298	Italy	Villa di Capezzana	88	25	Tuscany	Red Blend	Capezzana	
25299	France	Cèdre Héritage	88	17	Southwest France	Malbec	Château du Cèdre	
25300	France	Baron d'Ardeuil Vieilles Vignes	88	17	Southwest France	Bordeaux-style Red Blend	Vignerons de Buzet	
25301	Italy		88	14	Tuscany	Cabernet Sauvignon	Tenuta di Trecciano	
25302	Spain	Nora da Neve	88	29	Galicia	Albariño	Nora	
25303	US		88	35	California	Port	Meyer Family Cellars	
25304	US	Sangiacomo Vineyard-Truchard Vineyard	88	19	California	Chardonnay	X	
25305	Portugal	Primavera Reserva	87	7	Bairrada	Portuguese Red	Caves Primavera	
25306	France		87	15	Bordeaux	Bordeaux-style Red Blend	Château Suau	
25307	France	Princesse de Cleves	87	17	Southwest France	Bordeaux-style White Blend	Clos d'Yvigne	
25308	US	Cuvée de la Pompadour Brut Rosé	87	36	California	Sparkling Blend	Domaine Carneros	
25309	US	HJW Vineyard Dry	87	39	New York	Riesling	Hermann J. Wiemer	
25310	Spain	Norte	87	15	Northern Spain	Cabernet Sauvignon-Merlot	Inurrieta	
25311	Spain	Cordon Rosado Brut	87	12	Catalonia	Sparkling Blend	Freixenet	
25312	New Zealand		87	10	Marlborough	Sauvignon Blanc	Frenzy	
25313	US	VA de VI Ultra Cuvée	87	22	California	Sparkling Blend	Gloria Ferrer	
25314	New Zealand		87	17	Waipara	Sauvignon Blanc	Grey's Peak	
25315	Italy	Digià	87		Tuscany	Red Blend	Batzella	
25316	US	Traditions	87	27	New York	Merlot	Belhurst	
25317	US	Lambda	87	35	California	Pinot Noir	Ampelos	
25318	US	Moonridge Vineyards	87	35	California	Merlot	Korbin Kameron	
25319	US	Clone 76	87	18	California	Chardonnay	Kynsi	
25320	US		87	27	California	Syrah	Malibu Rocky Oaks	
25321	US	AnArtisticThought	87	19	Washington	Sauvignon Blanc	Stevens	
25322	US		87	25	California	Chardonnay	Storrs	
25323	Italy	Leone d'Almerita	87	18	Sicily & Sardinia	White Blend	Tasca d'Almerita	
25324	Italy	Torreforte	87		Sicily & Sardinia	Nero d'Avola	Tenuta Barone Nicolò La Lumia	
25325	Israel	Special Reserve	87	20	Galilee	Cabernet Sauvignon	Segal's	
25326	Italy	Il Frappato	87	20	Sicily & Sardinia	Frappato	Valle dell'Acate	
25327	Italy	Prius	87	27	Sicily & Sardinia	Rosé	Tenute Soletta	
25328	US		87	32	California	Chardonnay	Testarossa	
25329	Italy	Tenuta di Budonetto Terre di Maria	87	27	Sicily & Sardinia	Red Blend	Maurigi	
25330	Italy	La Segreta	87	15	Sicily & Sardinia	Red Blend	Planeta	
25331	Italy	Delicio	87		Sicily & Sardinia	Fiano	Viticultori Associati Canicatti	
25332	Italy	Lighea	87	20	Sicily & Sardinia	Zibibbo	Donnafugata	
25333	Italy	Triskelè	87	29	Sicily & Sardinia	Red Blend	Duca di Salaparuta	
25334	Italy	V90	87		Sicily & Sardinia	Nero d'Avola	Brugnano	
25335	Portugal	Late Bottled Vintage	87		Port	Port	Cálem	
25336	Italy	Villa di Chiesa	87	40	Sicily & Sardinia	White Blend	Cantina Santadi	
25337	Italy	Beleda	87		Sicily & Sardinia	Catarratto	Cantine Rallo	
25338	Italy	Levàntio	87	18	Sicily & Sardinia	Insolia	Fazio	
25339	Italy	Alberta Ferretti	87		Sicily & Sardinia	Chardonnay	Feudi del Pisciotto	
25340	Italy	Carolina Marenga	87	21	Sicily & Sardinia	Grillo	Feudi del Pisciotto	
25341	Italy	Stemmari	87	9	Sicily & Sardinia	Nero d'Avola	Feudo Arancio	
25342	US		87	16	New York	Riesling	Glenora	
25343	US		87	14	California	Chenin Blanc	Graziano	
25344	Italy	Rossojbleo	87	18	Sicily & Sardinia	Nero d'Avola	Gulfi	
25345	US	Shameless Hussy	87	18	Washington	Viognier	Hard Row To Hoe	
25346	France	Nouveau	87	13	Beaujolais	Gamay	Domaine de la Madone	
25347	US	Semidry	87	15	New York	Riesling	Chateau Lafayette Reneau	
25348	US	The Cab	87	20	California	Cabernet Sauvignon	Cosentino	
25349	Italy	Angimbé	87	17	Sicily & Sardinia	White Blend	Cusumano	
25350	Italy	Antero	87		Tuscany	Merlot	Le Grascete	
25351	Italy	Il Burchino	87	14	Tuscany	White Blend	Tenuta di Burchino	
25352	US	Murill Vineyard-1916 Vines	87	22	California	Carignane	Obscurity	
25353	US		87	13	California	Chardonnay	Ventana	
25354	US	Balo Vineyard	87	60	California	Pinot Noir	Tudor Wines	
25355	Italy	Suavis Locus Ille	87	14	Tuscany	Syrah	Tenuta di Trecciano	
25356	Italy	Calasole	87	15	Tuscany	Vermentino	Rocca di Montemassi	
25357	US	Nagasawa Vineyard	87	35	California	Chardonnay	Paradise Ridge	
25358	US	Grandview Vineyard	87	20	California	Sauvignon Blanc	Paradise Ridge	
25359	Italy	Mirus	87	25	Tuscany	Red Blend	Mocali	
25360	US		87	22	Oregon	Cabernet Sauvignon	Pheasant Valley Winery	
25361	Portugal		87	25	Alentejano	Portuguese Red	Monte do Pintor	
25362	US	Whole Cluster Fermented	87	20	Oregon	Pinot Noir	Willamette Valley Vineyards	
25363	France	ClaudeVal Blanc	87	9	Languedoc-Roussillon	White Blend	Domaines Paul Mas	
25364	US	Mt. Harlan Cuvée	87	30	California	Pinot Noir	Calera	
25365	US	Reserve	87	20	California	Chardonnay	EOS	
25366	US	Reserve	87	30	California	Zinfandel	EOS	
25367	US	Keyes Canyon Ranches	87	12	California	Zinfandel	Estancia	
25368	Spain	Elyssia Pinot Noir Brut	87	18	Catalonia	Sparkling Blend	Freixenet	
25369	US	Estate Grown Redwood Retreat Vineyards	87	40	California	Cabernet Sauvignon	Fernwood	
25370	US	Rock n Red	87	25	California	Red Blend	Headbanger	
25371	Portugal	Rocim	87	18	Alentejano	Portuguese Red	Herdade do Rocim	
25372	France		87	31	Bordeaux	Bordeaux-style White Blend	Château Suau	
25373	US	Gold Coast Vineyard	87	35	California	Pinot Noir	Costa de Oro	
25374	Spain		87	7	Northern Spain	Garnacha	Crucillon	
25375	US	Bass Hill	87	30	Oregon	Pinot Noir	Amity Vineyards	
25376	US	Rho	87	45	California	Pinot Noir	Ampelos	
25377	Italy	Patrimonio	87	29	Tuscany	Red Blend	Antonino Tringali-Casanuova	
25378	US	Avant-Garde	87	24	California	Pinot Noir	Domaine Carneros	
25379	US		87	23	California	Pinot Noir	Husch	
25380	US		87	22	California	Sauvignon Blanc	Alta Maria	
25381	US		87	28	Washington	Petit Verdot	Animale	
25382	Italy	Is Argiolas	87	20	Sicily & Sardinia	Vermentino	Argiolas	
25383	US	McMinn Vineyards	87	30	California	Chardonnay	Dogwood	
25384	France		87		Bordeaux	Bordeaux-style Red Blend	Château Dubraud	
25385	Israel	Reserve	87	25	Galilee	Shiraz	Binyamina	
25386	US		87	15	Washington	Syrah	Blacksmith	
25387	Italy	Terre di Giumara	87	14	Sicily & Sardinia	Inzolia	Caruso & Minini	
25388	Italy	Amongae	87	16	Sicily & Sardinia	Red Blend	Maggiovini	
25389	Italy	Bonera	87	19	Sicily & Sardinia	Red Blend	MandraRossa	
25390	Portugal	Reserva Branco	87		Douro	Portuguese White	Kopke	
25391	US		87	50	California	Cabernet Sauvignon	Michael James Wines	
25392	Italy	Tenuta di Budonetto Terre di Ottavia	87	46	Sicily & Sardinia	Pinot Nero	Maurigi	
25393	US	Cavedale Vineyards Smokin'	87	45	California	Cabernet Sauvignon	Y Rousseau	
25394	Italy	La Segreta	87	15	Sicily & Sardinia	Red Blend	Planeta	
25395	Italy	La Segreta	87	15	Sicily & Sardinia	White Blend	Planeta	
25396	US	Estate Grown	87	14	Washington	Sauvignon Blanc	Preston	
25397	US		87	35	California	Cabernet Sauvignon	Stepping Stone by Cornerstone	
25398	US	Viento Vineyard	87	16	California	Gewürztraminer	Storrs	
25399	US		87	36	California	Pinot Noir	Talley	
25400	US	Deux Chevaux Vineyard Rabicano	87	53	California	Bordeaux-style Red Blend	Tamber Bey	
25401	New Zealand	Cellar Selection	87	30	Marlborough	Pinot Noir	Villa Maria	
25402	US		87	30	Washington	Cabernet Sauvignon	William Church	
25403	US		87	24	California	Pinot Grigio	Terlato	
25404	US	Brosseau Vineyard	87	54	California	Pinot Noir	Testarossa	
25405	Italy	Fondo Filara	87	19	Sicily & Sardinia	Red Blend	Nicosia	
25406	Italy	Rosso del Soprano	87	52	Sicily & Sardinia	Red Blend	Palari	
25407	Israel	Special Reserve	87	18	Galilee	Chardonnay	Segal's	
25408	Portugal	Porto White Reserva	87	12	Port	Port	Rozes	
25409	Portugal	Periquita	87	10	Setubal	Portuguese Red	José Maria da Fonseca	
25410	France	Nouveau	87	10	Beaujolais	Gamay	Mommessin	
25411	US		87	28	California	Cabernet Sauvignon	Alta Maria	
25412	Spain	Fino	87	15	Andalucia	Pedro Ximénez	Alvear	
25413	New Zealand		87	15	Marlborough	Pinot Noir	Ara	
25414	US	Pheasant Run Vineyard	87	40	Washington	Cabernet Sauvignon	Basel Cellars	
25415	Israel	Reserve	87	60	Galilee	Merlot	Bazelet HaGolan	
25416	US	Semi-Dry	87	18	New York	Riesling	Belhurst	
25417	US	Dry	87	16	New York	Riesling	Billsboro	
25418	Italy	Ginolfo	87	23	Sicily & Sardinia	Viognier	Baglio di Pianetto	
25419	US	Bien Nacido Vineyard	87	45	California	Pinot Noir	Chanin	
25420	Italy	V90	87	15	Sicily & Sardinia	Nero d'Avola	Brugnano	
25421	US	The Count Founder's	87	20	California	Red Blend	Buena Vista	
25422	US	Kimberly's	87	28	California	Syrah	Cabot Vineyards	
25423	US	Canoe Ridge Estate	87	22	Washington	Merlot	Chateau Ste. Michelle	
25424	Italy	Rujari	87		Sicily & Sardinia	Red Blend	Cantine Rallo	
25425	Italy		87	21	Sicily & Sardinia	Pinot Nero	Cusumano	
25426	Italy	Cubìa	87	21	Sicily & Sardinia	Insolia	Cusumano	
25427	Italy	Torre dei Venti	87	21	Sicily & Sardinia	Nero d'Avola	Fazio	
25428	Italy	Missoni	87		Sicily & Sardinia	Cabernet Sauvignon	Feudi del Pisciotto	
25429	Italy		87	17	Sicily & Sardinia	Cabernet Sauvignon	Feudo Principi di Butera	
25430	Italy		87	17	Sicily & Sardinia	Nero d'Avola	Feudo Principi di Butera	
25431	Israel	Classico	87		Israel	Red Blend	Flam	
25432	France		87	33	Burgundy	Chardonnay	Domaine Guillemot-Michel	
25433	US		87	17	Washington	Chardonnay	Cloudlift Cellars	
25434	Italy	Passo delle Mule Suar Marchesa	87		Sicily & Sardinia	Nero d'Avola	Duca di Salaparuta	
25435	Italy	Kados Risignolo	87	15	Sicily & Sardinia	Grillo	Duca di Salaparuta	
25436	US	Captain Joe's	87	30	California	Petite Sirah	Concannon	
25437	France	Nouveau	87	10	Beaujolais	Gamay	Henry Fessy	
25438	US	Vintage Brut	87	48	California	Sparkling Blend	J Vineyards & Winery	
25439	US		87	25	Washington	Cabernet Sauvignon	Lujon	
25440	US		87	15	California	Chardonnay	Husch	
25441	US	Russian Cuveé	87	33	California	Sparkling Blend	Iron Horse	
25442	Spain	Crianza	87	15	Northern Spain	Tempranillo Blend	Marqués de Cáceres	
25443	US	Hooded Merganser	87	48	California	Red Blend	Paraduxx	
25444	Spain	Ducado de Altan	87	13	Northern Spain	Verdejo	Naia	
25445	France	Château Ducla	87	13	Bordeaux	Bordeaux-style Red Blend	Yvon Mau	
25446	Italy	Poggio al Tufo	87	24	Tuscany	Alicante	Tommasi	
25447	Italy		87	16	Tuscany	Syrah	Villa Pillo	
25448	Portugal	Samora	87	11	Tejo	Portuguese Red	Wines & Winemakers	
25449	Italy	Emilio Primo	87	15	Tuscany	Vermentino	Terre del Marchesato	
25450	New Zealand		87	15	Awatere Valley	Sauvignon Blanc	The Crossings	
25451	US	Amber Ridge Vineyard	87	44	California	Pinot Noir	Waits-Mast	
25452	New Zealand	Boulder Bank	87	15	Marlborough	Sauvignon Blanc	Nick Goldschmidt	
25453	US	The Convict Rocky Ridge Vineyard	87	40	California	Zinfandel	Paradise Ridge	
25454	New Zealand	Cellar Selection	87	15	Marlborough	Sauvignon Blanc	Sileni	
25455	US	Edizione Pennino	87	45	California	Zinfandel	Rubicon Estate	
25456	US	Heritage Blanc	87	18	California	White Blend	San Antonio	
25457	Spain	Reserva	87	18	Northern Spain	Tempranillo	Montecillo	
25458	US		87	17	Oregon	Pinot Blanc	Amity Vineyards	
25459	Spain	Artesanía Brut de Brut	87	11	Catalonia	Sparkling Blend	Cavas Hill	
25460	France		87		Bordeaux	Bordeaux-style Red Blend	Château Cabredon	
25461	France		87	20	Loire Valley	Cabernet Franc	Château de Minière	
25462	France		87	18	Bordeaux	Bordeaux-style Red Blend	Château Pey la Tour	
25463	Spain	Añares Reserva	87	18	Northern Spain	Tempranillo Blend	Bodegas Olarra	
25464	Italy		87	15	Tuscany	Red Blend	Capezzana	
25465	France		87	13	Bordeaux	Bordeaux-style Red Blend	Château des Combes	
25466	Italy		87		Tuscany	White Blend	Botti in Balzi	
25467	US		87	22	California	Merlot	Folie à Deux	
25468	France	Le Chemin des Loges Sec	87	30	Loire Valley	Chenin Blanc	Domaine les Loges de la Folie	
25469	US	Cupa Grandis Grand Barrel Reserve	87	45	California	Chardonnay	EOS	
25470	Spain	Sobre Lías	87	18	Galicia	Albariño	Maior de Mendoza	
25471	US		87	10	California	Petite Sirah	Line 39	
25472	Israel	Yarden Blanc de Blancs Brut	87	25	Galilee	Chardonnay	Golan Heights Winery	
25473	Spain	Tio Pepe Fino Muy Seco	87	18	Andalucia	Palomino	González Byass	
25474	Italy	Nerobaronj	87	50	Sicily & Sardinia	Nero d'Avola	Gulfi	
25475	US	Artisan Collection	87	13	California	Chardonnay	HandCraft	
25476	US	The Devious Woman	87	34	California	Red Blend	JR Wine	
25477	US		87	15	New York	Riesling	Knapp	
25478	US	Estate	87	17	California	Chardonnay	Kunde	
25479	France	Cuvée de la Platière	87	25	Beaujolais	Gamay	Domaine Chasselay	
25480	New Zealand		87	17	Marlborough	Riesling	Forrest	
25481	Israel		87	30	Judean Hills	Cabernet Sauvignon	Psagot	
25482	France	Les Deux Rives	87		Burgundy	Chardonnay	Olivier Leflaive	
25483	France	Les Sétilles	87	19	Burgundy	Chardonnay	Olivier Leflaive	
25484	Portugal	Mural Reserva	87	11	Douro	Portuguese Red	Quinta do Portal	
25485	US		87	35	California	Cabernet Franc	Stepping Stone by Cornerstone	
25486	US	YesOuiSi Red	87	18	Washington	Red Blend	Stevens	
25487	US	Firehouse Red	87	18	Washington	Red Blend	Tamarack Cellars	
25488	Italy	Lamùri	87	18	Sicily & Sardinia	Nero d'Avola	Tasca d'Almerita	
25489	Portugal	Quinta do Pégo Vintage	87	28	Port	Port	Rozes	
25490	US	Bragger	87	20	California	Syrah	Wild Coyote	
25491	US	Bishop's Blend Red	87	20	Washington	Red Blend	William Church	
25492	US		87	60	California	Pinot Noir	Terlato	
25493	US	Dos Rubios Vineyard	87	54	California	Pinot Noir	Testarossa	
25494	Italy	Case Ibidini	87	14	Sicily & Sardinia	Syrah	Valle dell'Acate	
25495	Italy	Zagra	87	21	Sicily & Sardinia	Grillo	Valle dell'Acate	
25496	US		87	65	California	Cabernet Sauvignon	Vellum	
25497	Chile	Reserva	87	10	Casablanca Valley	Sauvignon Blanc	Ventisquero	
25498	Spain	Reserva	87	20	Northern Spain	Tempranillo	Viña Bujanda	
25499	US	Estate	87	48	California	Syrah	Vineyard of Pasterick	
25500	US		87	27	California	Sauvignon Blanc	Duckhorn	
25501	US	Hungarian Oak	87	20	New York	Merlot	Comtesse Thérèse	
25502	Italy	Podere Ritorti	87		Tuscany	Red Blend	I Luoghi	
25503	Italy	Grale	87		Tuscany	Red Blend	Le Grascete	
25504	Italy		87		Tuscany	Red Blend	Le Tre Stelle	
25505	Spain	Reserva Brut Rosé	87	22	Catalonia	Sparkling Blend	Llopart	
25506	US	Brut	87	22	New York	Sparkling Blend	Martha Clara	
25507	US	Bonny's Vineyard	87	135	California	Cabernet Sauvignon	Meyer Family Cellars	
25508	Spain	Del Duque Amontillado Muy Viejo	87	45	Andalucia	Sherry	González Byass	
25509	US	Jack London Vineyard	87	25	California	Syrah	Kenwood	
25510	Spain	Cordon Negro Brut	87	12	Catalonia	Sparkling Blend	Freixenet	
25511	US	Reserve	87	35	New York	Merlot	Osprey's Dominion	
25512	Spain	Brut Blanc de Blancs	87	18	Catalonia	Sparkling Blend	Paul Cheneau	
25513	US	Radog	87	28	California	Pinot Noir	Radog	
25514	Spain	Limited Edition	87	17	Northern Spain	Tempranillo	Ramón Bilbao	
25515	US	Lola	87	24	California	Sangiovese	Stave 28	
25516	US	Three Blocks	87	49	California	Red Blend	Signaterra Benziger	
25517	Spain	Reserva	87	26	Northern Spain	Tempranillo	Solabal	
25518	Portugal	Azal	87	12	Vinho Verde	Portuguese White	Solar de Pinheiro	
25519	US	Reserve	87	27	California	Chardonnay	Sonoma-Loeb	
25520	Spain	Lanzaga	87	34	Northern Spain	Tempranillo	Telmo Rodríguez	
25521	US		87	18	Oregon	Pinot Noir	Acrobat	
25522	Spain	Crianza	87	15	Northern Spain	Tempranillo-Cabernet Sauvignon	Marco Real	
25523	US		87	35	California	Merlot	Mayacamas	
25524	Italy	D'Aria	87	24	Tuscany	Red Blend	Leopoldo I di Toscana	
25525	Spain	999 Brut Rosat	87	15	Catalonia	Sparkling Blend	Loxarel	
25526	Italy		87	17	Tuscany	Vermentino	Prelius	
25527	Spain	Lady of Spain Brut	87	15	Catalonia	Sparkling Blend	Paul Cheneau	
25528	Portugal	Guadalupe	87	14	Alentejano	Portuguese Red	Quinta do Quetzal	
25529	US	Chamisal Vineyards	87	38	California	Pinot Noir	Chamisal Vineyards	
25530	US	Seven Hills Vineyard	87	22	Washington	Sangiovese	Mannina Cellars	
25531	Italy	Il Giglio	87	23	Sicily & Sardinia	Syrah	Masseria del Feudo Grottarossa	
25532	Italy	Fondo Filara	87	15	Sicily & Sardinia	Catarratto	Nicosia	
25533	Italy	Fondo Filara	87	19	Sicily & Sardinia	White Blend	Nicosia	
25534	US		87	16	Washington	Pinot Grigio	Locati Cellars	
25535	US	Four Keys Crossing	87	21	California	Pinot Noir	Parkers Estate	
25536	Italy	Lunario	87	35	Sicily & Sardinia	Nero d'Avola	Brugnano	
25537	Italy		87	16	Sicily & Sardinia	Nero d'Avola	Colosi	
25538	France		87		Bordeaux	Bordeaux-style Red Blend	Château Saint-Nicolas	
25539	Italy		87		Sicily & Sardinia	Nero d'Avola	Cantine Barbera	
25540	Italy	Il Principe	87		Sicily & Sardinia	Nero d'Avola	Cantine Rallo	
25541	Spain	Serres Tempranillo	87	10	Northern Spain	Tempranillo	Carlos Serres	
25542	Italy	Terre di Giumara	87	12	Sicily & Sardinia	Nero d'Avola	Caruso & Minini	
25543	US	H3	87	15	Washington	Chardonnay	Columbia Crest	
25544	US	Reserve	87	20	California	Sauvignon Blanc	Concannon	
25545	Portugal	Cabriz	87		Dão	Touriga Nacional	Dão Sul	
25546	US		87	25	California	Chardonnay	Davis Bynum	
25547	Italy	Stemmari	87	10	Sicily & Sardinia	Cabernet Sauvignon	Feudo Arancio	
25548	Italy		87	16	Sicily & Sardinia	Nero d'Avola	Feudo Disisa	
25549	Italy		87	17	Sicily & Sardinia	Catarratto	Feudo Monaci	
25550	Italy		87	15	Sicily & Sardinia	Grillo	Feudo Montoni	
25551	Italy		87	17	Sicily & Sardinia	Syrah	Feudo Principi di Butera	
25552	Israel	Reserve	87		Israel	Cabernet Sauvignon	Flam	
25553	US		87	30	California	Grenache	Epiphany	
25554	Italy	Triskelè	87		Sicily & Sardinia	Red Blend	Duca di Salaparuta	
25555	Italy	Vajasindi Nawàri	87		Sicily & Sardinia	Pinot Nero	Duca di Salaparuta	
25556	Italy	Passo delle Mule Suar Marchesa	87	18	Sicily & Sardinia	Nero d'Avola	Duca di Salaparuta	
25557	US	Musso Family Vineyard	87	26	California	Nebbiolo	Due Vigne	
25558	Italy	Istituto Agrario San Michele all'Adige	87		Northeastern Italy	Riesling	Fondazione Edmund Mach	
25559	Italy		87		Sicily & Sardinia	Nero d'Avola	Fondo Antico	
25560	US	Rosé	87	22	California	Sparkling Blend	Chandon	
25561	Italy	Rigoleto	87	18	Tuscany	Red Blend	Collemassari	
25562	France	Liberty du Château Soussac	87	17	Bordeaux	Bordeaux-style Red Blend	Château Soussac	
25563	US	Traditional	87	18	New York	Merlot	Comtesse Thérèse	
25564	France	Château Nozières	87	14	Southwest France	Malbec	Domaine du Grand Cros	
25565	France	Fernand Averoux	87	30	Languedoc-Roussillon	Rhône-style Red Blend	Domaine Sainte Léocadie	
25566	US		87	14	California	Pinot Noir	Cupcake	
25567	US	La Prenda Vineyard Dos Burros	87	35	California	Marsanne-Roussanne	Atmosphere	
25568	Spain	Taja Reserva	87	12	Levante	Red Blend	Bodegas Mähler-Besse	
25569	Portugal	Soalheira 10-Year-Old Tawny	87	35	Port	Port	Borges	
25570	US		87	58	California	Pinot Noir	Goldeneye	
25571	Portugal	Monte da Peceguina Branco	87	20	Alentejano	Portuguese White	Herdade da Malhadinha Nova	
25572	US	Cuvée Brut 30th Anniversary Edition	87	25	New York	Champagne Blend	Hermann J. Wiemer	
25573	US	Reserve	87	22	New York	Merlot	Hudson-Chatham	
25574	US	Jack London Vineyard	87	35	California	Cabernet Sauvignon	Kenwood	
25575	US	Sweet Cuvée	87	13	California	Sparkling Blend	Korbel	
25576	Spain		87	14	Northern Spain	Chardonnay	Vega Sindoa	
25577	Portugal	Catapereiro	87	11	Tejo	Portuguese Red	Wines & Winemakers	
25578	US	Cuvee Christie	87	28	California	G-S-M	Tercero	
25579	US		87	22	Oregon	Pinot Noir	Amity Vineyards	
25580	Portugal	JP Azeitão Branco	87	9	Península de Setúbal	Portuguese White	Bacalhôa Wines of Portugal	
25581	US	Josie's Knoll	87	15	Virginia	Merlot	Lovingston	
25582	Spain		87	22	Northern Spain	Godello	Luna Beberide	
25583	US	Estate	87	18	California	Roussanne	Holly's Hill	
25584	US	Patriarche Blanc	87	25	California	Rhône-style White Blend	Holly's Hill	
25585	Portugal	Lot 1 Auction Reserve	87	27	Port	Port	Broadbent	
25586	US	Reserve	87	32	California	Tempranillo	EOS	
25587	Spain	Reserva	87	25	Northern Spain	Tempranillo	Dinastía Vivanco	
